,test/loss/total,_step,_runtime,train/loss/0,train/loss/5,train/loss/8,test/accuracy/5,test/accuracy/9,train/accuracy/5,train/loss/total,train/accuracy/total,test/accuracy/0,test/accuracy/8,train/accuracy/3,test/loss/0,test/loss/2,test/accuracy/2,test/accuracy/7,train/accuracy/2,train/loss/1,train/loss/3,train/loss/9,test/accuracy/1,test/accuracy/4,test/loss/7,test/loss/9,test/accuracy/6,train/accuracy/4,train/accuracy/9,test/loss/3,test/loss/8,train/loss/2,train/accuracy/0,train/accuracy/7,train/accuracy/8,train/accuracy/6,_timestamp,test/loss/1,test/loss/6,train/loss/6,train/loss/7,test/accuracy/3,train/accuracy/1,test/loss/4,test/loss/5,train/loss/4,test/accuracy/total
0,2.304450750350952,0,1.743570327758789,2.326470136642456,2.2432937622070312,2.303809642791748,0.6681614518165588,0.0,0.6764434576034546,2.3041064739227295,0.07514999806880951,0.0,0.0,0.007665959652513266,2.326019525527954,2.302985429763794,0.0,0.10505836457014084,0.0,2.370748519897461,2.2810161113739014,2.316746950149536,0.0,0.0,2.2683935165405273,2.3189077377319336,0.027139874175190926,0.0,0.0,2.2808167934417725,2.3045732975006104,2.3033273220062256,0.0,0.0898643285036087,0.000854554760735482,0.03835755214095116,1681588407.7817652,2.371427536010742,2.261749267578125,2.2630395889282227,2.269116163253784,0.006930693052709103,0.0,2.3521533012390137,2.2423994541168213,2.352532148361206,0.07370000332593918
1,5.933925151824951,24,2.2479376792907715,0.010144040919840336,6.268340110778809,7.381442546844482,0.0,0.0,0.0,5.859003067016602,0.09871666878461838,1.0,0.0,0.0,0.010278391651809216,6.520662784576416,0.0,0.0,0.0,5.26479434967041,6.647233486175537,7.018561840057373,0.0,0.0,5.851778030395508,7.121903896331787,0.0,0.0,0.0,6.722537517547607,7.525914192199707,6.480143070220947,1.0,0.0,0.0,0.0,1681588408.2861326,5.296741008758545,7.213602542877197,7.0511674880981445,5.841195106506348,0.0,0.0,6.801227569580078,6.3643317222595215,6.740012168884277,0.09799999743700027
2,7.109257698059082,48,2.8157706260681152,0.0031870901584625244,7.508313179016113,8.84571361541748,0.0,0.0,0.0,7.0172529220581055,0.09871666878461838,1.0,0.0,0.0,0.003214770695194602,7.868541717529297,0.0,0.0,0.0,6.233474254608154,7.974854946136475,8.377420425415039,0.0,0.0,7.036346912384033,8.505589485168457,0.0,0.0,0.0,8.068306922912598,9.019380569458008,7.818768501281738,1.0,0.0,0.0,0.0,1681588408.8539655,6.273148059844971,8.6565523147583,8.457988739013672,7.021640777587891,0.0,0.0,8.149812698364258,7.627361297607422,8.074481964111328,0.09799999743700027
3,7.703530311584473,72,3.3544669151306152,0.001811717520467937,8.135839462280273,9.582479476928711,0.0,0.0,0.0,7.6031413078308105,0.09871666878461838,1.0,0.0,0.0,0.0018193183932453394,8.55024528503418,0.0,0.0,0.0,6.730781078338623,8.645004272460938,9.061604499816895,0.0,0.0,7.637753963470459,9.201824188232422,0.0,0.0,0.0,8.747389793395996,9.770423889160156,8.495856285095215,1.0,0.0,0.0,0.0,1681588409.3926618,6.774264812469482,9.383034706115723,9.166796684265137,7.6209821701049805,0.0,0.0,8.829971313476562,8.266132354736328,8.747771263122559,0.09799999743700027
4,8.1060152053833,96,3.885230541229248,0.0012441659346222878,8.560986518859863,10.080547332763672,0.0,0.0,0.0,8.000004768371582,0.09871666878461838,1.0,0.0,0.0,0.001244553248398006,9.012185096740723,0.0,0.0,0.0,7.069431304931641,9.098612785339355,9.524133682250977,0.0,0.0,8.045825004577637,9.672391891479492,0.0,0.0,0.0,9.206989288330078,10.278023719787598,8.954668998718262,1.0,0.0,0.0,0.0,1681588409.9234254,7.115467548370361,9.874323844909668,9.646235466003418,8.027643203735352,0.0,0.0,9.290197372436523,8.698783874511719,9.203400611877441,0.09799999743700027
5,8.411347389221191,120,4.433749198913574,0.0009386889869347215,8.883565902709961,10.457991600036621,0.0,0.0,0.0,8.301094055175781,0.09871666878461838,1.0,0.0,0.0,0.0009357740636914968,9.36276626586914,0.0,0.0,0.0,7.327092170715332,9.442601203918457,9.874612808227539,0.0,0.0,8.355751991271973,10.028923034667969,0.0,0.0,0.0,9.555511474609375,10.662652969360352,9.30288314819336,1.0,0.0,0.0,0.0,1681588410.471944,7.375061988830566,10.246713638305664,10.009684562683105,8.336487770080566,0.0,0.0,9.639155387878418,9.027019500732422,9.548900604248047,0.09799999743700027
6,8.657598495483398,144,5.016676425933838,0.0007494034362025559,9.143759727478027,10.762173652648926,0.0,0.0,0.0,8.54393482208252,0.09871666878461838,1.0,0.0,0.0,0.0007448035175912082,9.645609855651855,0.0,0.0,0.0,7.535299301147461,9.719972610473633,10.157045364379883,0.0,0.0,8.605921745300293,10.316210746765137,0.0,0.0,0.0,9.836531639099121,10.972597122192383,9.583823204040527,1.0,0.0,0.0,0.0,1681588411.0548713,7.584824085235596,10.546868324279785,10.30265998840332,8.58577823638916,0.0,0.0,9.92048168182373,9.291757583618164,9.827459335327148,0.09799999743700027
7,8.864017486572266,168,5.557480812072754,0.0006213053711690009,9.361886978149414,11.017012596130371,0.0,0.0,0.0,8.747502326965332,0.09871666878461838,1.0,0.0,0.0,0.0006157880998216569,9.88277530670166,0.0,0.0,0.0,7.710064888000488,9.952436447143555,10.39364242553711,0.0,0.0,8.81576156616211,10.556863784790039,0.0,0.0,0.0,10.07204818725586,11.232256889343262,9.819400787353516,1.0,0.0,0.0,0.0,1681588411.5956757,7.760889530181885,10.79836368560791,10.548155784606934,8.794875144958496,0.0,0.0,10.156243324279785,9.51368236541748,10.060912132263184,0.09799999743700027
8,9.041799545288086,192,6.128982067108154,0.0005291714332997799,9.549771308898926,11.236407279968262,0.0,0.0,0.0,8.922835350036621,0.09871666878461838,1.0,0.0,0.0,0.0005231410614214838,10.087098121643066,0.0,0.0,0.0,7.860742568969727,10.152630805969238,10.597311019897461,0.0,0.0,8.99658489227295,10.764019966125488,0.0,0.0,0.0,10.274868965148926,11.455787658691406,10.022356033325195,1.0,0.0,0.0,0.0,1681588412.167177,7.912684917449951,11.014893531799316,10.75953483581543,8.975061416625977,0.0,0.0,10.35925579071045,9.70482349395752,10.261943817138672,0.09799999743700027
9,0.052131470292806625,12480,280.49668765068054,0.018713271245360374,0.04433636739850044,0.06867026537656784,0.9899103045463562,0.959365725517273,0.986164927482605,0.053592562675476074,0.9833999872207642,0.9918367266654968,0.9815195202827454,0.9796118140220642,0.025923918932676315,0.06067495793104172,0.9748061895370483,0.9863813519477844,0.9795233011245728,0.020205723121762276,0.06244125962257385,0.16954074800014496,0.9947136640548706,0.9918533563613892,0.04005558416247368,0.14687372744083405,0.9791231751441956,0.9924683570861816,0.9467137455940247,0.04352632537484169,0.06377140432596207,0.06144728511571884,0.9944285154342651,0.9899441599845886,0.9776106476783752,0.9923960566520691,1681588686.5348825,0.015392135828733444,0.062322523444890976,0.028000134974718094,0.03110574372112751,0.986138641834259,0.9939187169075012,0.02562197856605053,0.03980855643749237,0.035645339637994766,0.9836000204086304
10,9.337339401245117,240,7.246833086013794,0.0004059982893522829,9.862127304077148,11.600942611694336,0.0,0.0,0.0,9.214312553405762,0.09871666878461838,1.0,0.0,0.0,0.00039955854299478233,10.42686653137207,0.0,0.0,0.0,8.111507415771484,10.485374450683594,10.93568229675293,0.0,0.0,9.297370910644531,11.108173370361328,0.0,0.0,0.0,10.611977577209473,11.827173233032227,10.359855651855469,1.0,0.0,0.0,0.0,1681588413.285028,8.165301322937012,11.374714851379395,11.110816955566406,9.274782180786133,0.0,0.0,10.696662902832031,10.022592544555664,10.596073150634766,0.09799999743700027
