,test/loss/7,test/loss/8,train/loss/0,train/loss/7,test/accuracy/2,test/accuracy/5,train/accuracy/3,train/accuracy/4,train/loss/4,train/loss/6,test/accuracy/8,test/accuracy/9,test/loss/total,train/accuracy/0,train/accuracy/1,train/accuracy/5,train/accuracy/6,train/accuracy/8,train/accuracy/9,_runtime,test/loss/2,test/loss/3,test/loss/9,train/loss/3,train/loss/8,test/accuracy/7,test/accuracy/total,test/loss/6,train/loss/1,train/loss/2,test/accuracy/6,_step,test/loss/5,test/accuracy/0,train/loss/total,train/accuracy/total,test/loss/1,train/loss/5,_timestamp,test/loss/0,train/loss/9,test/accuracy/1,train/accuracy/2,train/accuracy/7,test/loss/4,test/accuracy/3,test/accuracy/4
0,177.16793823242188,178.4413299560547,17.270505905151367,177.16793823242188,0.0020000000949949026,0.00039999998989515007,0.03500000014901161,0.0,158.60464477539062,123.94363403320312,0.0,0.25940001010894775,103.46283721923828,0.4713999927043915,0.10620000213384628,0.00039999998989515007,0.00019999999494757503,0.0,0.25940001010894775,2.578670024871826,94.57410430908203,71.09322357177734,34.175750732421875,71.09322357177734,178.4413299560547,0.0,0.087459996342659,123.94363403320312,52.893611907958984,94.57410430908203,0.00019999999494757503,0,126.46371459960938,0.4713999927043915,103.46283721923828,0.087459996342659,52.893611907958984,126.46371459960938,1681648105.3142211,17.270505905151367,34.175750732421875,0.10620000213384628,0.0020000000949949026,0.0,158.60464477539062,0.03500000014901161,0.0
1,193.96588134765625,204.82139587402344,2.0396535396575928,193.96588134765625,0.00039999998989515007,0.00019999999494757503,0.031199999153614044,0.0,170.2621307373047,134.3648681640625,0.0,0.043800000101327896,119.4316177368164,0.9049999713897705,0.062199998646974564,0.00019999999494757503,0.0,0.0,0.043800000101327896,4.562582015991211,111.1625747680664,84.22496795654297,76.7795181274414,84.22496795654297,204.82139587402344,0.0,0.1042800024151802,134.3648681640625,71.5858154296875,111.1625747680664,0.0,24,145.10948181152344,0.9049999713897705,119.4316177368164,0.1042800024151802,71.5858154296875,145.10948181152344,1681648107.2981331,2.0396535396575928,76.7795181274414,0.062199998646974564,0.00039999998989515007,0.0,170.2621307373047,0.031199999153614044,0.0
2,207.1844024658203,220.95892333984375,0.7764759063720703,207.1844024658203,0.00039999998989515007,0.00019999999494757503,0.017000000923871994,0.0,181.6024932861328,144.10467529296875,0.0,0.015599999576807022,131.8996124267578,0.9595999717712402,0.032999999821186066,0.00019999999494757503,0.0,0.0,0.015599999576807022,5.668802499771118,123.09597778320312,99.09089660644531,97.34498596191406,99.09089660644531,220.95892333984375,0.0,0.1025800034403801,144.10467529296875,85.65547180175781,123.09597778320312,0.0,48,159.18182373046875,0.9595999717712402,131.8996124267578,0.1025800034403801,85.65547180175781,159.18182373046875,1681648108.4043536,0.7764759063720703,97.34498596191406,0.032999999821186066,0.00039999998989515007,0.0,181.6024932861328,0.017000000923871994,0.0
3,213.6539306640625,227.7297821044922,0.4706026315689087,213.6539306640625,0.00039999998989515007,0.00019999999494757503,0.009399999864399433,0.0,187.89720153808594,148.81370544433594,0.0,0.00839999970048666,138.3135223388672,0.9724000096321106,0.023600000888109207,0.00019999999494757503,0.0,0.0,0.00839999970048666,6.759356498718262,129.6215362548828,108.88483428955078,106.79866027832031,108.88483428955078,227.7297821044922,0.0,0.10143999755382538,148.81370544433594,93.2584457397461,129.6215362548828,0.0,72,166.00643920898438,0.9724000096321106,138.3135223388672,0.10143999755382538,93.2584457397461,166.00643920898438,1681648109.4949076,0.4706026315689087,106.79866027832031,0.023600000888109207,0.00039999998989515007,0.0,187.89720153808594,0.009399999864399433,0.0
4,218.1927947998047,232.31715393066406,0.30998578667640686,218.1927947998047,0.00039999998989515007,0.0,0.006599999964237213,0.0,192.67149353027344,152.45155334472656,0.0,0.005400000140070915,143.11239624023438,0.9814000129699707,0.01759999990463257,0.0,0.0,0.0,0.005400000140070915,7.851414918899536,134.29244995117188,117.25282287597656,113.66376495361328,117.25282287597656,232.31715393066406,0.0,0.10113999992609024,152.45155334472656,98.82208251953125,134.29244995117188,0.0,96,171.1497344970703,0.9814000129699707,143.11239624023438,0.10113999992609024,98.82208251953125,171.1497344970703,1681648110.586966,0.30998578667640686,113.66376495361328,0.01759999990463257,0.00039999998989515007,0.0,192.67149353027344,0.006599999964237213,0.0
5,222.08607482910156,236.34072875976562,0.21985937654972076,222.08607482910156,0.00039999998989515007,0.0,0.004800000227987766,0.0,196.70726013183594,155.688720703125,0.0,0.003800000064074993,147.23675537109375,0.9864000082015991,0.0142000000923872,0.0,0.0,0.0,0.003800000064074993,9.03377914428711,139.17794799804688,123.73137664794922,119.12930297851562,123.73137664794922,236.34072875976562,0.0,0.10096000134944916,155.688720703125,103.83357238769531,139.17794799804688,0.0,120,175.45272827148438,0.9864000082015991,147.23675537109375,0.10096000134944916,103.83357238769531,175.45272827148438,1681648111.7693303,0.21985937654972076,119.12930297851562,0.0142000000923872,0.00039999998989515007,0.0,196.70726013183594,0.004800000227987766,0.0
6,225.1769256591797,239.5821990966797,0.17001347243785858,225.1769256591797,0.00019999999494757503,0.0,0.0034000000450760126,0.0,199.7861785888672,158.29135131835938,0.0,0.0026000000070780516,150.39111328125,0.9900000095367432,0.01140000019222498,0.0,0.0,0.0,0.0026000000070780516,10.148601770401001,142.38877868652344,128.37286376953125,123.35871124267578,128.37286376953125,239.5821990966797,0.0,0.10075999796390533,158.29135131835938,107.98651123046875,142.38877868652344,0.0,144,178.79754638671875,0.9900000095367432,150.39111328125,0.10075999796390533,107.98651123046875,178.79754638671875,1681648112.884153,0.17001347243785858,123.35871124267578,0.01140000019222498,0.00019999999494757503,0.0,199.7861785888672,0.0034000000450760126,0.0
7,227.8907012939453,242.4970245361328,0.1341821402311325,227.8907012939453,0.00019999999494757503,0.0,0.002400000113993883,0.0,202.41879272460938,160.68557739257812,0.0,0.0020000000949949026,153.13084411621094,0.9919999837875366,0.009200000204145908,0.0,0.0,0.0,0.0020000000949949026,11.221545219421387,144.80886840820312,132.2936553955078,127.19429016113281,132.2936553955078,242.4970245361328,0.0,0.10057999938726425,160.68557739257812,111.58732604980469,144.80886840820312,0.0,168,181.79803466796875,0.9919999837875366,153.13084411621094,0.10057999938726425,111.58732604980469,181.79803466796875,1681648113.9570963,0.1341821402311325,127.19429016113281,0.009200000204145908,0.00019999999494757503,0.0,202.41879272460938,0.002400000113993883,0.0
8,230.17457580566406,244.98822021484375,0.10650468617677689,230.17457580566406,0.00019999999494757503,0.0,0.0015999999595806003,0.0,204.76683044433594,162.83950805664062,0.0,0.0015999999595806003,155.5447998046875,0.993399977684021,0.007000000216066837,0.0,0.0,0.0,0.0015999999595806003,12.290541648864746,146.61990356445312,136.2013397216797,130.56263732910156,136.2013397216797,244.98822021484375,0.0,0.10038000345230103,162.83950805664062,114.6743392944336,146.61990356445312,0.0,192,184.51406860351562,0.993399977684021,155.5447998046875,0.10038000345230103,114.6743392944336,184.51406860351562,1681648115.0260928,0.10650468617677689,130.56263732910156,0.007000000216066837,0.00019999999494757503,0.0,204.76683044433594,0.0015999999595806003,0.0
9,183.45436096191406,198.79421997070312,1.5130759477615356,183.45436096191406,0.00039999998989515007,0.00019999999494757503,0.003599999938160181,0.0,164.44509887695312,124.96578979492188,0.0,0.009999999776482582,118.22740173339844,0.9053999781608582,0.17759999632835388,0.00019999999494757503,0.0,0.0,0.009999999776482582,13.536746501922607,119.26409912109375,108.84754943847656,93.42292785644531,108.84754943847656,198.79421997070312,0.0,0.10971999913454056,124.96578979492188,47.13066101074219,119.26409912109375,0.0,216,140.43621826171875,0.9053999781608582,118.22740173339844,0.10971999913454056,47.13066101074219,140.43621826171875,1681648116.2722976,1.5130759477615356,93.42292785644531,0.17759999632835388,0.00039999998989515007,0.0,164.44509887695312,0.003599999938160181,0.0
